,Number,Title,Artist,Genre,Year,Dance,Positiveness,Duration,Popularity
42,43,We Are The World,U.S.A. For Africa,,1980,53,29,427,69
43,44,Stuck On You,Lionel Richie,adult standards,1980,51,25,192,69
44,45,Hurts So Good,John Mellencamp,album rock,1980,79,97,219,69
45,46,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1980,54,23,256,69
46,47,Hysteria,Def Leppard,album rock,1980,66,66,355,68
47,48,Nikita,Elton John,glam rock,1980,63,75,343,68
48,49,Dancing With Myself,Billy Idol,album rock,1980,51,91,360,68
49,50,I'll Be Over You,TOTO,album rock,1980,52,41,230,68
50,51,Kids In America,Kim Wilde,dance pop,1980,56,31,206,68
51,52,St. Elmos Fire (Man in Motion),John Parr,album rock,1980,61,47,252,68
52,53,One More Night - 2016 Remaster,Phil Collins,mellow gold,1980,53,34,289,68
53,54,Come On Eileen,Dexys Midnight Runners,bow pop,1980,41,82,206,68
54,55,Where Do Broken Hearts Go,Whitney Houston,dance pop,1980,46,25,278,67
55,56,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,63,95,264,67
56,57,Brother Louie,Modern Talking,eurodance,1980,78,83,223,67
57,58,Running Up That Hill (A Deal With God),Kate Bush,art pop,1980,63,20,299,67
58,59,End Of The Line,Traveling Wilburys,album rock,1980,58,93,210,67
59,60,Every Breath You Take,The Police,album rock,1980,82,72,252,67
60,61,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,1980,63,24,233,67
61,62,Woman in Love,Barbra Streisand,adult standards,1980,47,33,232,67
62,63,Cheri Cheri Lady,Modern Talking,eurodance,1980,68,85,226,66
63,64,Higher Love - Single Version,Steve Winwood,album rock,1980,70,92,252,66
64,65,That's What Friends Are For,Dionne Warwick,adult standards,1980,68,17,256,66
65,66,Gloria,Laura Branigan,dance rock,1980,78,88,295,66
66,67,Slave To Love,Bryan Ferry,album rock,1980,66,79,266,66
67,68,Now And Forever,Richard Marx,mellow gold,1980,44,17,215,65
68,69,Big in Japan,Alphaville,dance rock,1980,75,24,286,65
69,70,Only You,Yazoo,dance rock,1980,75,85,194,65
70,71,Valerie,Steve Winwood,album rock,1980,72,73,247,65
71,72,Blue Monday '88,New Order,alternative rock,1980,68,95,245,65
72,73,Gold,Spandau Ballet,dance rock,1980,71,64,231,65
73,74,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1980,45,39,232,64
74,75,Sledgehammer,Peter Gabriel,album rock,1980,66,42,314,64
75,76,Rhythm Of The Night,DeBarge,disco,1980,71,96,229,64
76,77,Jessie's Girl,Rick Springfield,album rock,1980,72,85,194,64
77,78,It's Raining Men,The Weather Girls,disco,1980,68,61,211,64
78,79,Sunshine Reggae,Laid Back,classic danish pop,1980,70,93,258,64
79,80,Wonderful Life,Black,dance rock,1980,72,82,288,64
80,81,The Riddle,Nik Kershaw,dance rock,1980,58,90,235,63
81,82,Papa Don't Preach,Madonna,dance pop,1980,81,97,345,63
82,83,Didn't We Almost Have It All,Whitney Houston,dance pop,1980,54,34,305,63
83,84,All Right,Christopher Cross,adult standards,1980,71,50,254,63
84,85,Biggest Part of Me,Ambrosia,adult standards,1980,50,88,324,63
85,86,Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1980,57,67,333,62
86,87,Baby Come To Me,Patti Austin,adult standards,1980,63,70,215,62
87,88,Fame - Rerecorded,Irene Cara,dance rock,1980,71,94,319,62
88,89,Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1980,58,40,284,61
89,90,Rock You Like a Hurricane,Scorpions,album rock,1980,58,67,254,61
90,91,When the Children Cry,White Lion,album rock,1980,49,38,259,61
91,92,Is This Love - 2017 Remaster,Whitesnake,album rock,1980,33,53,285,60
92,93,I Knew You Were Waiting (For Me),George Michael,new wave pop,1980,73,68,242,60
93,94,You Keep Me Hangin On,Kim Wilde,dance pop,1980,69,71,255,60
94,95,Dancing with Tears in My Eyes,Ultravox,art rock,1980,59,93,244,59
95,96,In The Army Now,Status Quo,album rock,1980,68,94,281,59
96,97,Here I Go Again - 2017 Remaster,Whitesnake,album rock,1980,38,27,276,58
97,98,Holiday,Madonna,dance pop,1980,81,73,232,58
98,99,I Think We're Alone Now,Tiffany,new wave pop,1980,65,70,227,58
99,100,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1980,41,40,215,58
100,101,Cold as Ice - 2008 Remaster,Foreigner,album rock,1980,55,51,200,57
101,102,Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,1980,85,91,433,50
102,103,It's Only Love - 2008 Remaster,Simply Red,british soul,1980,67,75,299,50
103,104,Lucky Star,Madonna,dance pop,1980,80,93,338,46
104,105,Romeo - 2014 Remaster,Donna Summer,dance pop,1980,85,96,199,43
0,1,No Scrubs,TLC,atl hip hop,1990,74,59,214,79
1,2,I Want It That Way,Backstreet Boys,boy band,1990,69,48,214,76
2,3,It Wasn't Me,Shaggy,dance pop,1990,85,65,228,76
3,4,"Because You Loved Me (Theme from ""Up Close and Personal"")",CÃ©line Dion,canadian pop,1990,61,18,274,74
4,5,Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1990,78,76,253,74
5,6,I Got 5 On It,Luniz,g funk,1990,60,58,254,73
6,7,Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,1990,80,97,202,73
7,8,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1990,73,61,225,73
8,9,Bed Of Roses,Bon Jovi,glam metal,1990,31,16,394,73
9,10,Don't Look Back in Anger - Remastered,Oasis,britpop,1990,33,33,290,73
10,11,Always Be My Baby,Mariah Carey,dance pop,1990,65,49,258,73
11,12,Angels,Robbie Williams,dance pop,1990,43,24,265,73
12,13,Return of the Mack,Mark Morrison,british soul,1990,72,61,213,72
13,14,Pony,Ginuwine,dance pop,1990,75,97,252,72
14,15,Freed From Desire,Gala,eurodance,1990,70,64,213,71
15,16,Better Off Alone,Alice DJ,europop,1990,67,76,218,71
16,17,Hero,Mariah Carey,dance pop,1990,50,18,258,71
17,18,End Of The Road,Boyz II Men,boy band,1990,64,53,351,71
18,19,I'll Be Missing You (feat. 112),Diddy,dance pop,1990,86,93,302,71
19,20,Forgot About Dre,Dr. Dre,g funk,1990,92,62,222,71
20,21,Fantasy,Mariah Carey,dance pop,1990,67,80,243,70
21,22,Sandstorm,Darude,eurodance,1990,53,59,225,70
22,23,Who Am I (What's My Name)?,Snoop Dogg,g funk,1990,69,69,246,70
23,24,Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1990,70,39,257,69
24,25,Spending My Time,Roxette,europop,1990,42,22,276,69
25,26,Let's Get Loud,Jennifer Lopez,dance pop,1990,82,91,239,69
26,27,The Rhythm of the Night,Corona,bubblegum dance,1990,69,80,264,69
27,28,The Power of Love,CÃ©line Dion,canadian pop,1990,55,25,342,68
28,29,Narcotic - Radio Edit,Liquido,german alternative rock,1990,62,45,236,68
29,30,Miami,Will Smith,hip hop,1990,88,89,198,68
30,31,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,1990,90,63,230,68
31,32,3AM,Matchbox Twenty,neo mellow,1990,52,54,226,68
32,33,High,Lighthouse Family,europop,1990,66,59,308,68
33,34,L'Amour Toujours,Gigi D'Agostino,eurodance,1990,62,81,239,67
34,35,"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1990,79,71,226,67
35,36,Say My Name,Destiny's Child,dance pop,1990,52,75,271,67
36,37,Heal the World,Michael Jackson,pop,1990,53,10,384,67
37,38,The Boy Is Mine,Brandy,dance pop,1990,70,76,295,66
38,39,Weak,SWV,dance pop,1990,69,57,292,66
39,40,Walking in Memphis,Cher,dance pop,1990,70,53,235,66
40,41,Angel of Mine - Radio Mix,Monica,dance pop,1990,59,21,250,66
41,42,Picture Of You,Boyzone,boy band,1990,76,88,206,65
42,43,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",CÃ©line Dion,canadian pop,1990,46,12,249,65
43,44,Run To You,Bryan Adams,album rock,1990,56,64,233,65
44,45,No Matter What,Boyzone,boy band,1990,70,53,274,65
45,46,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1990,82,77,284,64
46,47,Dreams,Gabrielle,british soul,1990,75,57,223,64
47,48,Fading Like a Flower (Every Time You Leave),Roxette,europop,1990,61,32,231,64
48,49,It's Not Right But It's Okay,Whitney Houston,dance pop,1990,81,53,292,64
49,50,Stay Another Day,East 17,boy band,1990,52,44,267,63
50,51,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1990,52,13,243,63
51,52,Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1990,66,84,221,62
52,53,Incomplete,Sisqo,dance pop,1990,75,27,274,62
53,54,Sweet Dreams,La Bouche,bubblegum dance,1990,66,83,205,62
54,55,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,1990,87,79,301,62
55,56,Mysterious Girl - Radio Edit,Peter Andre,europop,1990,66,86,217,62
56,57,It's Gonna Be Me,*NSYNC,boy band,1990,64,88,191,62
57,58,I Have Nothing - Film Version,Whitney Houston,dance pop,1990,49,17,296,61
58,59,I Promised Myself,Nick Kamen,,1990,58,69,241,61
59,60,You,Ten Sharp,,1990,41,67,273,61
60,61,Relight My Fire (feat. Lulu),Take That,boy band,1990,65,93,252,61
61,62,Get A Way,Maxx,bubblegum dance,1990,85,60,227,60
62,63,More And More - Single Version,Captain Hollywood Project,bubblegum dance,1990,66,71,254,60
63,64,Free - Mood II Swing Radio Edit,Ultra NatÃ©,deep house,1990,76,74,233,60
64,65,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1990,30,14,292,59
65,66,Please Don't Go,Double You,eurodance,1990,71,49,200,59
66,67,Piu bella cosa,Eros Ramazzotti,italian pop,1990,67,62,265,58
67,68,When the Heartache Is Over,Tina Turner,disco,1990,69,43,224,58
68,69,Bailando,Paradisio,bubblegum dance,1990,65,84,229,58
69,70,Let There Be Love - 2002 Digital Remaster,Simple Minds,art rock,1990,49,60,309,57
70,71,I Will Always Love You - Film Version,Whitney Houston,dance pop,1990,34,12,275,57
71,72,I'll Be There,Mariah Carey,dance pop,1990,41,30,264,56
72,73,Don't Stop,ATB,german dance,1990,71,57,221,56
73,74,Das Boot,U96,bubble trance,1990,64,33,314,56
74,75,Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1990,46,27,278,56
75,76,Real Real Gone,Van Morrison,classic rock,1990,70,95,221,56
76,77,King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco house,1990,87,76,299,55
77,78,Be With You,Enrique Iglesias,dance pop,1990,68,54,219,55
78,79,Ain't That Just the Way,Lutricia McNeal,,1990,74,77,215,55
79,80,Have You Ever - Radio Edit,Brandy,dance pop,1990,68,23,215,54
80,81,Gangsta's Paradise,Coolio,g funk,1990,64,42,242,54
81,82,Show Me Love,Robin S,disco house,1990,82,56,254,53
82,83,When I Look Into Your Eyes,Firehouse,album rock,1990,39,25,240,53
83,84,Insomnia - Radio Edit,Faithless,big beat,1990,71,53,216,50
84,85,If You Ever,East 17,boy band,1990,58,57,255,48
85,86,Pump Up The Jam,Technotronic,eurodance,1990,89,72,320,46
86,87,Doin' It,LL Cool J,east coast hip hop,1990,81,62,294,46
87,88,Please Forgive Me,Bryan Adams,album rock,1990,53,15,356,43
0,1,In the End,Linkin Park,alternative metal,2000,56,40,217,83
1,2,The Scientist,Coldplay,permanent wave,2000,56,21,310,83
2,3,Numb,Linkin Park,alternative metal,2000,50,24,186,81
3,4,Fix You,Coldplay,permanent wave,2000,21,12,296,81
4,5,Umbrella,Rihanna,barbadian pop,2000,58,57,276,80
5,6,Stronger,Kanye West,chicago rap,2000,62,49,312,80
6,7,The Real Slim Shady,Eminem,detroit hip hop,2000,95,76,284,80
7,8,Low (feat. T-Pain),Flo Rida,dance pop,2000,92,30,231,79
8,9,American Boy,Estelle,r&b,2000,73,51,285,79
9,10,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2000,89,58,250,79
10,11,Hall of Fame,The Script,celtic rock,2000,42,63,203,78
11,12,Party In The U.S.A.,Miley Cyrus,dance pop,2000,65,47,202,78
12,13,Candy Shop,50 Cent,east coast hip hop,2000,61,76,209,78
13,14,Fireflies,Owl City,pop,2000,51,46,228,78
14,15,Dynamite,Taio Cruz,dance pop,2000,75,82,203,77
15,16,So Sick,Ne-Yo,dance pop,2000,45,58,207,77
16,17,Take A Bow,Rihanna,barbadian pop,2000,70,57,229,77
17,18,Dilemma,Nelly,dance pop,2000,73,61,289,77
18,19,I Gotta Feeling,The Black Eyed Peas,dance pop,2000,74,61,289,77
19,20,Halo,BeyoncÃ©,dance pop,2000,51,47,262,77
20,21,In Da Club,50 Cent,east coast hip hop,2000,90,78,193,77
21,22,Just the Way You Are,Bruno Mars,pop,2000,64,43,221,77
22,23,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2000,74,80,222,76
23,24,Gasolina,Daddy Yankee,latin,2000,86,75,193,76
24,25,Let Me Love You,Mario,dance pop,2000,66,56,257,76
25,26,Don't Stop The Music,Rihanna,barbadian pop,2000,84,54,267,76
26,27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2000,69,6,322,76
27,28,I Knew You Were Trouble.,Taylor Swift,dance pop,2000,62,68,220,75
28,29,Temperature,Sean Paul,dance pop,2000,95,82,219,75
29,30,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2000,48,14,216,75
30,31,Where Is The Love?,The Black Eyed Peas,dance pop,2000,84,83,273,75
31,32,Replay,Iyaz,dance pop,2000,71,20,182,74
32,33,Live Your Life (feat. Rihanna),T.I.,atl hip hop,2000,38,48,339,74
33,34,Grenade,Bruno Mars,pop,2000,71,23,223,74
34,35,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2000,65,77,231,74
35,36,Womanizer,Britney Spears,dance pop,2000,72,24,224,74
36,37,You Found Me,The Fray,modern rock,2000,34,40,242,74
37,38,One Tow Step (feat. Missy Elliot),Ciara,dance pop,2000,94,84,204,74
38,39,Smack That,Akon,dance pop,2000,94,93,212,73
39,40,Alors on danse,Stromae,belgian pop,2000,79,71,206,73
40,41,No Air (feat. Chris Brown),Jordin Sparks,dance pop,2000,47,33,264,73
41,42,We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2000,63,75,193,73
42,43,Love Story,Taylor Swift,dance pop,2000,62,31,236,73
43,44,Pon de Replay,Rihanna,barbadian pop,2000,78,50,247,73
44,45,A Milli,Lil Wayne,hip hop,2000,67,77,222,73
45,46,U Remind Me,Usher,atl hip hop,2000,66,73,267,73
46,47,Right Round,Flo Rida,dance pop,2000,72,71,205,72
47,48,Because Of You,Ne-Yo,dance pop,2000,81,83,267,72
48,49,Call on Me - Radio Mix,Eric Prydz,big room,2000,60,45,171,72
49,50,Only Girl (In The World),Rihanna,barbadian pop,2000,79,61,235,72
50,51,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2000,84,92,267,72
51,52,Pump It,The Black Eyed Peas,dance pop,2000,65,74,213,72
52,53,Break Your Heart,Taio Cruz,dance pop,2000,61,57,202,71
53,54,Numb / Encore,JAY-Z,east coast hip hop,2000,69,80,205,71
54,55,Hate That I Love You,Rihanna,barbadian pop,2000,64,73,219,71
55,56,Lollipop,Lil Wayne,hip hop,2000,83,45,299,71
56,57,Rockstar,Nickelback,alternative metal,2000,62,69,252,71
57,58,I Wanna Love You,Akon,dance pop,2000,87,35,247,70
58,59,Crush,David Archuleta,dance pop,2000,57,49,214,70
59,60,Apologize,Timbaland,dance pop,2000,66,8,184,70
60,61,7 Days,Craig David,british soul,2000,66,89,235,70
61,62,Broken Strings,James Morrison,neo mellow,2000,57,32,250,70
62,63,Bleeding Love,Leona Lewis,british soul,2000,64,20,263,70
63,64,In My Head,Jason Derulo,dance pop,2000,76,85,199,69
64,65,Ridin',Chamillionaire,dirty south rap,2000,79,84,303,69
65,66,Hot N Cold,Katy Perry,dance pop,2000,71,86,220,69
66,67,Breakeven,The Script,celtic rock,2000,63,49,261,68
67,68,Snap Yo Fingers,Youngbloodz,atl hip hop,2000,84,63,274,68
68,69,Boom Boom Pow,The Black Eyed Peas,dance pop,2000,87,40,251,68
69,70,Lady - Hear Me Tonight,Modjo,disco house,2000,72,87,307,68
70,71,Superstar,Jamelia,europop,2000,80,82,215,67
71,72,Love Lockdown,Kanye West,chicago rap,2000,76,11,270,67
72,73,The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2000,78,64,205,66
73,74,Release Me,Agnes,dance pop,2000,62,72,256,65
74,75,About You Now,Sugababes,bubblegum dance,2000,58,59,212,65
75,76,Pjanoo - Radio Edit,Eric Prydz,big room,2000,60,84,157,65
76,77,Let It Rock,Kevin Rudolf,dance pop,2000,61,44,231,65
77,78,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2000,64,49,199,64
78,79,Lean Back,Terror Squad,bronx hip hop,2000,80,70,247,64
79,80,TiK ToK,Kesha,dance pop,2000,75,63,200,63
80,81,All Rise,Blue,boy band,2000,72,93,224,63
81,82,Fergalicious,Fergie,dance pop,2000,91,83,292,63
82,83,Something,Lasgo,belgian dance,2000,64,38,221,63
83,84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2000,66,50,189,63
84,85,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2000,70,65,228,61
85,86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2000,62,29,203,61
86,87,Thank God I Found You,Mariah Carey,dance pop,2000,47,15,257,61
87,88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2000,96,80,312,60
88,89,Cooler Than Me - Single Mix,Mike Posner,dance pop,2000,75,65,213,60
89,90,Bump Bump Bump,B2K,boy band,2000,84,89,283,60
90,91,Beautiful Girls,Sean Kingston,dance pop,2000,54,75,242,60
91,92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,2000,82,80,237,60
92,93,Leave The World Behind - Radio Edit,Axwell,big room,2000,53,28,162,58
93,94,DÃ©senchantÃ©e - Radio Edit,Kate Ryan,belgian pop,2000,52,29,221,57
94,95,Moving too fast - Radio Edit,Artful Dodger,uk garage,2000,84,52,238,57
95,96,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2000,56,49,324,56
96,97,Knock You Down,Keri Hilson,dance pop,2000,59,65,326,56
97,98,Dragostea Din Tei - Italian Version,O-Zone,bubblegum dance,2000,67,80,215,44
98,99,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,2000,75,66,244,40
99,100,Impossible - Main,Shontelle,barbadian pop,2000,59,51,226,32
0,1,bad guy,Billie Eilish,electropop,2010,70,56,194,94
1,2,7 rings,Ariana Grande,dance pop,2010,78,33,179,90
2,3,Old Town Road - Remix,Lil Nas X,country rap,2010,88,64,157,89
3,4,SeÃ±orita,Shawn Mendes,canadian pop,2010,76,75,191,88
4,5,rockstar (feat. 21 Savage),Post Malone,dfw rap,2010,59,13,218,88
5,6,SAD!,XXXTENTACION,emo rap,2010,74,47,167,87
6,7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2010,76,93,158,86
7,8,God's Plan,Drake,canadian hip hop,2010,75,36,199,85
8,9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2010,79,59,215,85
9,10,Thunder,Imagine Dragons,modern rock,2010,61,29,187,85
10,11,I Fall Apart,Post Malone,dfw rap,2010,56,29,223,84
11,12,HUMBLE.,Kendrick Lamar,conscious hip hop,2010,91,42,177,84
12,13,Starboy,The Weeknd,canadian contemporary r&b,2010,68,49,230,84
13,14,FRIENDS,Marshmello,brostep,2010,63,53,203,83
14,15,Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2010,75,46,221,83
15,16,Congratulations,Post Malone,dfw rap,2010,63,49,220,83
16,17,In My Feelings,Drake,canadian hip hop,2010,84,35,218,83
17,18,The Hills,The Weeknd,canadian contemporary r&b,2010,58,14,242,83
18,19,no tears left to cry,Ariana Grande,dance pop,2010,70,35,206,83
19,20,Dancing On My Own,Calum Scott,pop,2010,68,24,260,83
20,21,New Rules,Dua Lipa,dance pop,2010,76,61,209,83
21,22,Treat You Better,Shawn Mendes,canadian pop,2010,44,75,188,83
22,23,Something Just Like This,The Chainsmokers,electropop,2010,62,45,247,83
23,24,Happier,Ed Sheeran,pop,2010,52,24,208,82
24,25,Attention,Charlie Puth,dance pop,2010,78,80,209,82
25,26,IDGAF,Dua Lipa,dance pop,2010,84,51,218,82
26,27,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2010,87,97,199,82
27,28,Scared to Be Lonely,Martin Garrix,big room,2010,58,20,221,81
28,29,Whatever It Takes,Imagine Dragons,modern rock,2010,67,56,201,81
29,30,Let Me Love You,DJ Snake,electronic trap,2010,65,16,206,81
30,31,i hate u i love u (feat. olivia o'brien),gnash,pop,2010,49,18,251,81
31,32,Silence,Marshmello,brostep,2010,52,29,181,80
32,33,The Nights,Avicii,big room,2010,53,65,177,80
33,34,Without You (feat. Sandro Cavazza),Avicii,big room,2010,66,30,182,80
34,35,In the Name of Love,Martin Garrix,big room,2010,50,17,196,80
35,36,Faded,Alan Walker,electro house,2010,47,16,212,80
36,37,Story of My Life,One Direction,boy band,2010,60,29,245,80
37,38,Solo (feat. Demi Lovato),Clean Bandit,dance pop,2010,74,56,223,79
38,39,Love Lies (with Normani),Khalid,alternative r&b,2010,71,34,202,79
39,40,Little Do You Know,Alex & Sierra,neo mellow,2010,50,37,185,79
40,41,Mercy,Shawn Mendes,canadian pop,2010,56,36,209,79
41,42,Exchange,Bryson Tiller,pop,2010,53,27,195,79
42,43,One Last Time,Ariana Grande,dance pop,2010,63,10,197,79
43,44,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,66,65,221,78
44,45,Give Me Everything,Pitbull,dance pop,2010,67,53,252,78
45,46,Waiting For Love,Avicii,big room,2010,58,61,231,78
46,47,Stay,Zedd,complextro,2010,69,54,210,78
47,48,It Ain't Me (with Selena Gomez),Kygo,edm,2010,64,52,221,78
48,49,Hall of Fame,The Script,celtic rock,2010,42,63,203,78
49,50,Payphone,Maroon 5,pop,2010,74,55,231,78
50,51,PILLOWTALK,ZAYN,dance pop,2010,58,44,203,78
51,52,All I Want,Kodaline,irish pop,2010,21,16,306,78
52,53,Youngblood,5 Seconds of Summer,boy band,2010,60,15,203,77
53,54,Symphony (feat. Zara Larsson),Clean Bandit,dance pop,2010,71,46,212,77
54,55,Unsteady,X Ambassadors,indie poptimism,2010,39,20,194,77
55,56,Classic,MKTO,dance pop,2010,72,76,175,77
56,57,Time of Our Lives,Pitbull,dance pop,2010,72,72,229,77
57,58,Please Don't Go,Joel Adams,australian pop,2010,51,24,211,76
58,59,When You Love Someone,James TW,neo mellow,2010,68,35,217,76
59,60,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2010,74,9,245,76
60,61,Perfect Strangers,Jonas Blue,dance pop,2010,73,70,197,76
61,62,Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2010,74,62,189,75
62,63,September Song,JP Cooper,dance pop,2010,61,37,220,75
63,64,Never Forget You,Zara Larsson,dance pop,2010,58,28,213,75
64,65,Say You Won't Let Go,James Arthur,pop,2010,40,48,211,75
65,66,Airplanes (feat. Hayley Williams),B.o.B,atl hip hop,2010,66,38,180,75
66,67,Whistle,Flo Rida,dance pop,2010,75,74,225,75
67,68,Do It Again,Pia Mia,dance pop,2010,71,41,208,74
68,69,Paris,The Chainsmokers,electropop,2010,65,25,222,74
69,70,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,dance pop,2010,69,18,230,74
70,71,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2010,74,51,231,74
71,72,No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2010,74,60,224,73
72,73,The Ocean (feat. Shy Martin),Mike Perry,big room,2010,63,19,183,73
73,74,Capsize,FRENSHIP,electropop,2010,68,36,238,72
74,75,As Long As You Love Me,Justin Bieber,canadian pop,2010,57,61,229,72
75,76,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,2010,70,73,194,71
76,77,2U (feat. Justin Bieber),David Guetta,dance pop,2010,55,56,195,71
77,78,Strip That Down (feat. Quavo),Liam Payne,dance pop,2010,87,55,202,71
78,79,Wildest Dreams,Taylor Swift,dance pop,2010,55,47,220,71
79,80,Sun Is Shining,Axwell /\ Ingrosso,big room,2010,47,38,255,71
80,81,Solo Dance,Martin Jensen,big room,2010,75,40,175,70
81,82,Alone,Alan Walker,electro house,2010,68,16,161,70
82,83,You Don't Know Me (feat. RAYE),Jax Jones,dance pop,2010,88,67,213,70
83,84,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2010,63,88,258,70
84,85,Hurts So Good,Astrid S,dance pop,2010,67,42,209,69
85,86,Five More Hours - Deorro x Chris Brown,Deorro,big room,2010,70,50,212,69
86,87,She Looks So Perfect,5 Seconds of Summer,boy band,2010,49,44,202,69
87,88,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,2010,67,55,195,69
88,89,Mama,Jonas Blue,dance pop,2010,74,54,184,68
89,90,Don't Leave,Snakehips,dance pop,2010,66,34,215,68
90,91,Drag Me Down,One Direction,boy band,2010,72,61,192,68
91,92,The One That Got Away,Katy Perry,dance pop,2010,69,88,227,66
92,93,Shed a Light,Robin Schulz,dance pop,2010,48,58,191,65
93,94,Sex,Cheat Codes,dance pop,2010,60,19,228,60
94,95,Call on Me - Ryan Riback Remix,Starley,aussietronica,2010,67,72,222,58
95,96,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2010,65,80,211,56
96,97,Dynamite,Taio Cruz,dance pop,2010,76,87,203,56
97,98,Break Your Heart,Taio Cruz,dance pop,2010,67,68,185,54
98,99,Summer Air,ItaloBrothers,dance pop,2010,76,49,184,43
99,100,All I Wanna Do,Martin Jensen,big room,2010,73,56,194,32
